,FN,FP,TN,TP,t,ts
313,5579,6989,43721,12721,11.333333333333336,65
314,5856,6233,45717,11204,11.666666666666664,65
315,4101,5680,47290,11939,12.0,65
316,4668,4936,49204,10202,12.333333333333336,65
317,4810,4262,51118,8820,12.666666666666664,65
318,3507,4558,51622,9323,13.0,65
319,2828,4640,52520,9022,13.333333333333336,65
320,3189,4666,52904,8251,13.666666666666664,65
321,4558,4057,54873,5522,14.333333333333336,65
322,4178,3759,56021,5052,14.666666666666664,65
323,4547,3355,56945,4163,15.0,65
324,3422,3833,57057,4698,15.666666666666664,65
325,3344,2555,58975,4136,17.333333333333332,65
326,2835,2553,59707,3915,20.0,65
327,3503,2413,60517,2577,22.66666666666667,65
328,2648,2406,61174,2782,23.66666666666667,65
329,2401,2017,62223,2369,25.66666666666667,65
330,1603,2181,62739,2487,27.66666666666667,65
331,1736,2081,63579,1614,31.33333333333333,65
332,1564,2850,63530,1066,34.333333333333336,65
333,1762,1425,65535,288,38.66666666666666,65
334,1222,759,66901,128,46.0,65
335,579,763,67597,71,53.0,65
336,1374,1071,129,66436,2.333333333333333,75
337,3989,2547,753,61721,2.6666666666666665,75
338,5882,5222,2318,55588,3.0,75
339,8629,8743,4357,47281,3.333333333333333,75
340,11976,10316,7324,39394,3.6666666666666665,75
341,13097,11726,9054,35133,4.0,75
342,13046,12201,10499,33264,4.333333333333333,75
343,13828,13065,11125,30992,4.666666666666667,75
344,13553,13194,11876,30387,5.0,75
345,13098,13059,12241,30612,5.333333333333333,75
346,13795,12514,14016,28685,6.333333333333332,75
347,12917,13724,13946,28423,6.666666666666668,75
348,12660,13399,16161,26790,7.0,75
349,13581,11870,19420,24139,7.333333333333332,75
350,12045,11727,21543,23695,7.666666666666668,75
351,10893,10757,24083,23277,8.0,75
352,11293,10595,26225,20897,8.333333333333334,75
353,10400,11214,27606,19790,8.666666666666666,75
354,8164,8928,32902,19016,9.0,75
355,7612,9687,33563,18148,9.333333333333334,75
356,6850,6997,38423,16740,9.666666666666666,75
357,6409,6520,40070,16011,10.0,75
358,6366,6537,41313,14794,10.333333333333334,75
359,6179,5598,43252,13981,10.666666666666666,75
360,5280,6694,42976,14060,11.0,75
361,5607,6508,44202,12693,11.333333333333336,75
362,5913,5450,46500,11147,11.666666666666664,75
363,5491,5966,47004,10549,12.0,75
364,3836,6428,47712,11034,12.333333333333336,75
365,4284,5420,49960,9346,12.666666666666664,75
366,4256,5113,51067,8574,13.0,75
367,3482,3885,53275,8368,13.333333333333336,75
368,4416,3525,54045,7024,13.666666666666664,75
369,3994,3969,54961,6086,14.333333333333336,75
370,4027,4180,55600,5203,14.666666666666664,75
371,3976,3490,56810,4734,15.0,75
372,3753,3149,57741,4367,15.666666666666664,75
373,3392,2528,59002,4088,17.333333333333332,75
374,3108,2964,59296,3642,20.0,75
375,2903,2645,60285,3177,22.66666666666667,75
376,2666,2375,61205,2764,23.66666666666667,75
377,2188,2454,61786,2582,25.66666666666667,75
378,1549,1979,62941,2541,27.66666666666667,75
379,1639,1851,63809,1711,31.33333333333333,75
380,1885,2134,64246,745,34.333333333333336,75
381,1766,1513,65447,284,38.66666666666666,75
382,1223,817,66843,127,46.0,75
383,599,735,67625,51,53.0,75
384,1345,1080,120,66465,2.333333333333333,85
385,4894,2565,735,60816,2.6666666666666665,85
386,6404,5061,2479,55066,3.0,85
387,8240,8525,4575,47670,3.333333333333333,85
388,12166,9959,7681,39204,3.6666666666666665,85
389,13597,11507,9273,34633,4.0,85
390,14408,12470,10230,31902,4.333333333333333,85
391,14269,12100,12090,30551,4.666666666666667,85
392,13643,13099,11971,30297,5.0,85
393,13844,12380,12920,29866,5.333333333333333,85
394,13119,12739,13791,29361,6.333333333333332,85
395,13917,12592,15078,27423,6.666666666666668,85
396,13054,12997,16563,26396,7.0,85
397,12261,12198,19092,25459,7.333333333333332,85
398,12993,12593,20677,22747,7.666666666666668,85
399,10769,10615,24225,23401,8.0,85
400,10585,10616,26204,21605,8.333333333333334,85
401,9590,10087,28733,20600,8.666666666666666,85
402,9092,8334,33496,18088,9.0,85
403,7687,7849,35401,18073,9.333333333333334,85
404,7178,6497,38923,16412,9.666666666666666,85
405,5966,6032,40558,16454,10.0,85
406,5567,5629,42221,15593,10.333333333333334,85
407,6454,6015,42835,13706,10.666666666666666,85
408,5400,6535,43135,13940,11.0,85
409,5664,6190,44520,12636,11.333333333333336,85
410,5328,6259,45691,11732,11.666666666666664,85
411,5235,5300,47670,10805,12.0,85
412,5041,5286,48854,9829,12.333333333333336,85
413,3712,5171,50209,9918,12.666666666666664,85
414,3954,6131,50049,8876,13.0,85
415,3192,4319,52841,8658,13.333333333333336,85
416,3441,4137,53433,7999,13.666666666666664,85
417,3874,4122,54808,6206,14.333333333333336,85
418,4437,3348,56432,4793,14.666666666666664,85
419,4018,3320,56980,4692,15.0,85
420,3715,2842,58048,4405,15.666666666666664,85
421,3057,2574,58956,4423,17.333333333333332,85
422,3080,2661,59599,3670,20.0,85
423,3300,2328,60602,2780,22.66666666666667,85
424,2303,2265,61315,3127,23.66666666666667,85
425,2160,2140,62100,2610,25.66666666666667,85
426,1514,2196,62724,2576,27.66666666666667,85
427,1240,2107,63553,2110,31.33333333333333,85
428,2050,1924,64456,580,34.333333333333336,85
429,1109,1742,65218,941,38.66666666666666,85
430,1062,1164,66496,288,46.0,85
431,585,582,67778,65,53.0,85
432,2480,955,245,65330,2.333333333333333,95
433,3605,2557,733,62115,2.6666666666666665,95
434,6505,4936,2604,54965,3.0,95
435,9736,8221,4879,46174,3.333333333333333,95
436,12570,9570,8070,38800,3.6666666666666665,95
437,13097,11095,9685,35133,4.0,95
438,13039,12367,10333,33271,4.333333333333333,95
439,12967,13043,11147,31853,4.666666666666667,95
440,13730,12071,12999,30210,5.0,95
441,13816,12433,12867,29894,5.333333333333333,95
442,12698,13193,13337,29782,6.333333333333332,95
443,13771,12196,15474,27569,6.666666666666668,95
444,11355,13645,15915,28095,7.0,95
445,13390,11407,19883,24330,7.333333333333332,95
446,11562,12588,20682,24178,7.666666666666668,95
447,10586,10175,24665,23584,8.0,95
448,10238,10824,25996,21952,8.333333333333334,95
449,9338,10377,28443,20852,8.666666666666666,95
450,8762,8869,32961,18418,9.0,95
451,7499,7900,35350,18261,9.333333333333334,95
452,7089,6704,38716,16501,9.666666666666666,95
453,5728,5798,40792,16692,10.0,95
454,5553,5622,42228,15607,10.333333333333334,95
455,5556,5497,43353,14604,10.666666666666666,95
456,5228,5454,44216,14112,11.0,95
457,5185,6134,44576,13115,11.333333333333336,95
458,5767,6637,45313,11293,11.666666666666664,95
459,4982,5104,47866,11058,12.0,95
460,4681,5670,48470,10189,12.333333333333336,95
461,4146,5150,50230,9484,12.666666666666664,95
462,3993,5283,50897,8837,13.0,95
463,3838,3589,53571,8012,13.333333333333336,95
464,3346,4337,53233,8094,13.666666666666664,95
465,3911,4388,54542,6169,14.333333333333336,95
466,4103,3816,55964,5127,14.666666666666664,95
467,3869,3563,56737,4841,15.0,95
468,3304,3509,57381,4816,15.666666666666664,95
469,2697,2930,58600,4783,17.333333333333332,95
470,2908,2389,59871,3842,20.0,95
471,2874,2528,60402,3206,22.66666666666667,95
472,2324,2342,61238,3106,23.66666666666667,95
473,1864,2081,62159,2906,25.66666666666667,95
474,1331,1929,62991,2759,27.66666666666667,95
475,1370,1982,63678,1980,31.33333333333333,95
476,1165,2286,64094,1465,34.333333333333336,95
477,1476,1721,65239,574,38.66666666666666,95
478,1166,1201,66459,184,46.0,95
479,549,718,67642,101,53.0,95
480,2014,1020,180,65796,2.333333333333333,105
481,3902,2481,819,61808,2.6666666666666665,105
482,6631,5176,2364,54839,3.0,105
483,11080,7919,5181,44830,3.333333333333333,105
484,12333,9134,8506,39037,3.6666666666666665,105
485,12883,11478,9302,35347,4.0,105
486,12943,11971,10729,33367,4.333333333333333,105
487,12129,13424,10766,32691,4.666666666666667,105
488,13471,12113,12957,30469,5.0,105
489,13430,12748,12552,30280,5.333333333333333,105
490,13761,13044,13486,28719,6.333333333333332,105
491,13145,12578,15092,28195,6.666666666666668,105
492,12397,13212,16348,27053,7.0,105
493,12218,12309,18981,25502,7.333333333333332,105
494,11364,12224,21036,24386,7.666666666666668,105
495,10917,10275,24565,23253,8.0,105
496,9945,9620,27200,22245,8.333333333333334,105
497,9463,10484,28336,20727,8.666666666666666,105
498,9081,9016,32814,18099,9.0,105
499,8224,7841,35409,17536,9.333333333333334,105
500,6628,6584,38836,16962,9.666666666666666,105
501,6534,6292,40298,15886,10.0,105
502,6269,5452,42398,14891,10.333333333333334,105
503,5983,5325,43525,14177,10.666666666666666,105
504,5329,5742,43928,14011,11.0,105
505,5205,5883,44827,13095,11.333333333333336,105
506,5086,5616,46334,11974,11.666666666666664,105
507,4547,5549,47421,11493,12.0,105
508,4524,5271,48869,10346,12.333333333333336,105
509,3389,5200,50180,10241,12.666666666666664,105
510,4423,4651,51529,8407,13.0,105
511,3196,3737,53423,8654,13.333333333333336,105
512,2942,4652,52918,8498,13.666666666666664,105
513,3953,3974,54956,6127,14.333333333333336,105
514,3878,3507,56273,5352,14.666666666666664,105
515,3785,3319,56981,4925,15.0,105
516,3105,3482,57408,5015,15.666666666666664,105
517,3315,2720,58810,4165,17.333333333333332,105
518,2591,2620,59640,4159,20.0,105
519,3006,2016,60914,3074,22.66666666666667,105
520,2399,2350,61230,3031,23.66666666666667,105
521,2069,1806,62434,2701,25.66666666666667,105
522,1232,1756,63164,2858,27.66666666666667,105
523,1359,2185,63475,1991,31.33333333333333,105
524,1634,2544,63836,996,34.333333333333336,105
525,1633,2086,64874,417,38.66666666666666,105
526,1179,1017,66643,171,46.0,105
527,561,649,67711,89,53.0,105
528,1825,1060,140,65985,2.333333333333333,115
529,3412,2389,911,62298,2.6666666666666665,115
530,6692,5018,2522,54778,3.0,115
531,9603,7535,5565,46307,3.333333333333333,115
532,11490,9829,7811,39880,3.6666666666666665,115
533,13058,11141,9639,35172,4.0,115
534,13849,12282,10418,32461,4.333333333333333,115
535,13279,12192,11998,31541,4.666666666666667,115
536,12815,12743,12327,31125,5.0,115
537,13512,12593,12707,30198,5.333333333333333,115
538,13323,12042,14488,29157,6.333333333333332,115
539,11966,14004,13666,29374,6.666666666666668,115
540,11685,13600,15960,27765,7.0,115
541,12694,11533,19757,25026,7.333333333333332,115
542,10812,10726,22544,24928,7.666666666666668,115
543,11005,10261,24579,23165,8.0,115
544,10368,8833,27987,21822,8.333333333333334,115
545,9223,9908,28912,20967,8.666666666666666,115
546,8134,8909,32921,19046,9.0,115
547,7999,7907,35343,17761,9.333333333333334,115
548,6656,6548,38872,16934,9.666666666666666,115
549,7009,6055,40535,15411,10.0,115
550,5399,5570,42280,15761,10.333333333333334,115
551,5209,6017,42833,14951,10.666666666666666,115
552,5882,5313,44357,13458,11.0,115
553,5901,6116,44594,12399,11.333333333333336,115
554,5548,5212,46738,11512,11.666666666666664,115
555,4753,5071,47899,11287,12.0,115
556,4397,5148,48992,10473,12.333333333333336,115
557,4090,4804,50576,9540,12.666666666666664,115
558,4478,4944,51226,8362,13.0,115
559,3677,3641,53519,8173,13.333333333333336,115
560,3217,3972,53598,8223,13.666666666666664,115
561,3490,4142,54788,6590,14.333333333333336,115
562,3625,4251,55529,5605,14.666666666666664,115
563,3846,3324,56976,4864,15.0,115
564,3089,3525,57365,5031,15.666666666666664,115
565,3165,2706,58824,4315,17.333333333333332,115
566,2263,2913,59347,4487,20.0,115
567,2897,2350,60580,3183,22.66666666666667,115
568,2499,2400,61180,2931,23.66666666666667,115
569,2180,2322,61918,2590,25.66666666666667,115
570,1547,2088,62832,2543,27.66666666666667,115
571,1296,2148,63512,2054,31.33333333333333,115
572,2009,1964,64416,621,34.333333333333336,115
573,1646,2112,64848,404,38.66666666666666,115
574,940,1212,66448,410,46.0,115
575,608,528,67832,42,53.0,115
576,1885,1030,170,65925,2.333333333333333,125
577,3400,2490,810,62310,2.6666666666666665,125
578,6695,5050,2490,54775,3.0,125
579,9676,7406,5694,46234,3.333333333333333,125
580,11102,10145,7495,40268,3.6666666666666665,125
581,11623,11433,9347,36607,4.0,125
582,13453,11693,11007,32857,4.333333333333333,125
583,13715,11976,12214,31105,4.666666666666667,125
584,13140,12335,12735,30800,5.0,125
585,12212,13556,11744,31498,5.333333333333333,125
586,12776,12721,13809,29704,6.333333333333332,125
587,12969,12709,14961,28371,6.666666666666668,125
588,13056,12047,17513,26394,7.0,125
589,11721,12397,18893,25999,7.333333333333332,125
590,10805,10762,22508,24935,7.666666666666668,125
591,11543,10290,24550,22627,8.0,125
592,9829,10169,26651,22361,8.333333333333334,125
593,9438,9884,28936,20752,8.666666666666666,125
594,7849,9097,32733,19331,9.0,125
595,7207,8787,34463,18553,9.333333333333334,125
596,7171,5958,39462,16419,9.666666666666666,125
597,6245,5915,40675,16175,10.0,125
598,5331,5816,42034,15829,10.333333333333334,125
599,5636,5229,43621,14524,10.666666666666666,125
600,5195,5749,43921,14145,11.0,125
601,5569,5836,44874,12731,11.333333333333336,125
602,5364,5011,46939,11696,11.666666666666664,125
603,4833,5429,47541,11207,12.0,125
604,4549,4996,49144,10321,12.333333333333336,125
605,3658,6214,49166,9972,12.666666666666664,125
606,3974,5606,50574,8856,13.0,125
607,4074,3223,53927,7786,13.333333333333336,125
608,2940,4138,53432,8500,13.666666666666664,125
609,3881,3645,55285,6199,14.333333333333336,125
610,3758,4162,55618,5472,14.666666666666664,125
611,3232,4282,56018,5478,15.0,125
612,3232,3576,57314,4888,15.666666666666664,125
613,2903,3141,58389,4577,17.333333333333332,125
