FN,FP,MAE,MSE,TN,TP,sr,t
211.8,222.1,13.369702361976525,5295.908733957398,2538.9,3928.2,45,150.72
374.4,420.9,13.55619243587886,6925.8213339516005,3034.1,3071.6,45,190.94
910.0,635.5,13.20090436168671,6722.536745615129,3506.5,1849.0,45,240.02
817.1,891.4,15.878343138675552,12077.753584781913,3947.6,1244.9,45,417.38
778.8,654.3,13.580309810172437,6891.377319200115,4866.7,601.2,45,485.21
511.2,239.6,12.282592522822778,5282.101225284741,5971.4,178.8,45,580.87
428.8,471.0,18.00811288219099,26995.566000557883,219.0,5782.2,50,67.03
691.2,731.8,16.154081292566296,9132.840267771338,650.2,4827.8,50,88.64
525.0,686.0,11.68521880886828,5551.700399581219,1384.0,4306.0,50,133.15
185.9,155.0,15.697332560498477,10020.844472511228,2606.0,3954.1,50,150.72
540.8,423.1,13.519193160411536,11808.536584141428,3031.9,2905.2,50,190.94
707.1,691.3,13.619358643674833,6966.261942246051,3450.7,2051.9,50,240.02
762.1,829.6,13.875140559339226,6658.771816764238,4009.4,1299.9,50,417.38
704.7,670.7,11.564604984784815,4722.014791788146,4850.3,675.3,50,485.21
366.5,438.8,11.983039704390668,5737.803752539487,5772.2,323.5,50,580.87
522.6,402.6,15.681177148239385,10616.330537471742,287.4,5688.4,55,67.03
799.9,655.8,12.826837777133747,7209.890389770686,726.2,4719.1,55,88.64
578.3,464.8,12.426608462541662,4846.660001496884,1605.2,4252.7,55,133.15
196.2,200.3,12.971346399072598,5622.389163757789,2560.7,3943.8,55,150.72
538.0,343.4,11.79147724967396,6413.357784823576,3111.6,2908.0,55,190.94
727.9,712.0,12.419128387190263,5932.479064347196,3430.0,2031.1,55,240.02
877.6,745.7,13.21785277496015,7315.517558097376,4093.3,1184.4,55,417.38
733.7,625.3,12.215883060426027,6535.804042607593,4895.7,646.3,55,485.21
458.6,308.7,14.86006767135198,11222.306574547165,5902.3,231.4,55,580.87
436.8,430.1,15.454366396174468,23429.61136777387,259.9,5774.2,60,67.03
712.9,746.6,11.537657151137516,4586.60863344153,635.4,4806.1,60,88.64
511.8,709.8,12.984558179973916,6445.733102036661,1360.2,4319.2,60,133.15
185.5,222.2,11.235370453557454,3652.1180131086076,2538.8,3954.5,60,150.72
379.8,477.8,10.910946529488482,3202.4263348753807,2977.2,3066.2,60,190.94
737.3,720.9,12.99640073902333,5893.294612997754,3421.1,2021.7,60,240.02
843.9,728.7,13.606180915809304,7078.934068629547,4110.3,1218.1,60,417.38
750.8,658.9,12.842091146210695,6390.177362664831,4862.1,629.2,60,485.21
430.6,377.1,12.949882263440083,7280.015912309447,5833.9,259.4,60,580.87
498.4,461.3,12.786217214896393,5254.0811612106945,228.7,5712.6,65,67.03
830.6,612.7,12.49243363280684,6538.97829770794,769.3,4688.4,65,88.64
558.4,452.6,13.746892551804086,7930.028583787495,1617.4,4272.6,65,133.15
171.6,136.5,11.772337704680481,7612.365680101798,2624.5,3968.4,65,150.72
470.2,401.6,12.413471670772353,6836.606679365308,3053.4,2975.8,65,190.94
755.5,663.1,12.26577691638893,6050.832606622591,3478.9,2003.5,65,240.02
772.0,758.3,12.815372916968556,5973.357464567092,4080.7,1290.0,65,417.38
621.2,723.8,13.866440008694394,6628.070397560137,4797.2,758.8,65,485.21
