FN,FP,MAE,MSE,TN,TP,sr,t
896.9,947.1,73.72804767160099,132091.7448630911,3193.9,1863.1,65,1423.639285714286
699.6,656.8,78.51987655653288,179583.9697436101,4174.2,1370.4,65,1656.5029411764706
565.9,416.3,78.17974772683752,174281.81159532256,5104.7,814.1,65,2001.9504273504278
364.9,264.4,69.27914672462072,121557.8754584523,5946.6,325.1,65,2946.427222222222
433.7,543.5,70.86163164431034,124389.86120228632,146.5,5777.3,70,466.56000000000006
926.4,834.7,70.2416958564755,119349.73510368649,546.3,4593.6,70,552.8416666666667
1065.2,1188.9,75.0327014721277,143280.98897757469,881.1,3765.8,70,634.676923076923
1232.0,1409.4,78.82852851489848,153226.37574791865,1350.6,2909.0,70,1058.9727272727273
1152.5,1127.1,77.47280963557947,160883.68047350115,2323.9,2297.5,70,1244.48
907.2,830.4,71.9436281786076,136440.89400779098,3310.6,1852.8,70,1423.639285714286
665.2,669.2,76.12565666374417,188276.090539323,4161.8,1404.8,70,1656.5029411764706
461.6,499.5,90.69233096721175,218239.6096913294,5021.5,918.4,70,2001.9504273504278
368.8,355.5,73.27200077027798,140716.79697829735,5855.5,321.2,70,2946.427222222222
673.4,499.2,73.16030014752947,136398.25712710997,190.8,5537.6,75,466.56000000000006
940.3,778.0,92.5142821032786,303423.9417605009,603.0,4579.7,75,552.8416666666667
1213.7,1170.1,72.77514615401289,130238.67864337921,899.9,3617.3,75,634.676923076923
1282.2,1328.1,69.03929550111226,129824.4797503672,1431.9,2858.8,75,1058.9727272727273
1067.7,1258.9,70.94609382144215,133585.464453073,2191.6,2382.8,75,1244.48
785.2,961.1,76.25694580466646,144994.4072660802,3179.9,1974.8,75,1423.639285714286
612.1,646.8,73.4390849234813,142506.30303447365,4184.2,1457.9,75,1656.5029411764706
418.4,550.4,82.9276155648129,194216.19832558854,4970.6,961.6,75,2001.9504273504278
307.0,291.4,88.16454553408347,239295.58670575678,5919.6,383.0,75,2946.427222222222
597.9,465.0,88.42632426243208,281090.9975256582,225.0,5613.1,80,466.56000000000006
902.1,814.1,73.05262498013849,157430.335316783,566.9,4617.9,80,552.8416666666667
1200.1,1109.2,71.75007157765751,145039.83026534296,960.8,3630.9,80,634.676923076923
1272.8,1324.2,68.9394531742663,120827.52098804894,1435.8,2868.2,80,1058.9727272727273
1157.0,1127.4,87.44814850571782,235330.52000184823,2323.6,2293.0,80,1244.48
897.1,874.5,80.58316584379752,193929.90641280782,3266.5,1862.9,80,1423.639285714286
685.8,668.3,70.46515789141496,127390.32558871072,4162.7,1384.2,80,1656.5029411764706
415.1,411.5,95.51334567570453,326067.5469404146,5109.5,964.9,80,2001.9504273504278
293.4,284.2,75.58208693342246,152749.39473056103,5926.8,396.6,80,2946.427222222222
