class_weight,criterion,file,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,random_state,results,splitter
,entropy,dataset,20.0,,10,1e-07,8,2,0.0,False,,./data2/video-0113-classification.csv,best
,mse,dataset,20.0,,10,1e-07,8,2,0.0,False,,./data2/video-0113-regression.csv,best
,entropy,dataset,20.0,,10,1e-07,10,2,0.0,False,,./data2/video-0114-classification.csv,best
,mse,dataset,20.0,,10,1e-07,10,2,0.0,False,,./data2/video-0114-regression.csv,best
,entropy,dataset,20.0,,20,1e-07,1,2,0.0,False,,./data2/video-0115-classification.csv,best
,mse,dataset,20.0,,20,1e-07,1,2,0.0,False,,./data2/video-0115-regression.csv,best
,entropy,dataset,20.0,,20,1e-07,2,2,0.0,False,,./data2/video-0116-classification.csv,best
,mse,dataset,20.0,,20,1e-07,2,2,0.0,False,,./data2/video-0116-regression.csv,best
,entropy,dataset,20.0,,20,1e-07,4,2,0.0,False,,./data2/video-0117-classification.csv,best
,mse,dataset,20.0,,20,1e-07,4,2,0.0,False,,./data2/video-0117-regression.csv,best
,entropy,dataset,20.0,,20,1e-07,6,2,0.0,False,,./data2/video-0118-classification.csv,best
,mse,dataset,20.0,,20,1e-07,6,2,0.0,False,,./data2/video-0118-regression.csv,best
,entropy,dataset,20.0,,20,1e-07,8,2,0.0,False,,./data2/video-0119-classification.csv,best
,mse,dataset,20.0,,20,1e-07,8,2,0.0,False,,./data2/video-0119-regression.csv,best
,entropy,dataset,20.0,,20,1e-07,10,2,0.0,False,,./data2/video-0120-classification.csv,best
,mse,dataset,20.0,,20,1e-07,10,2,0.0,False,,./data2/video-0120-regression.csv,best
,entropy,dataset,20.0,,30,1e-07,1,2,0.0,False,,./data2/video-0121-classification.csv,best
,mse,dataset,20.0,,30,1e-07,1,2,0.0,False,,./data2/video-0121-regression.csv,best
,entropy,dataset,20.0,,30,1e-07,2,2,0.0,False,,./data2/video-0122-classification.csv,best
,mse,dataset,20.0,,30,1e-07,2,2,0.0,False,,./data2/video-0122-regression.csv,best
,entropy,dataset,20.0,,30,1e-07,4,2,0.0,False,,./data2/video-0123-classification.csv,best
,mse,dataset,20.0,,30,1e-07,4,2,0.0,False,,./data2/video-0123-regression.csv,best
,entropy,dataset,20.0,,30,1e-07,6,2,0.0,False,,./data2/video-0124-classification.csv,best
,mse,dataset,20.0,,30,1e-07,6,2,0.0,False,,./data2/video-0124-regression.csv,best
,entropy,dataset,20.0,,30,1e-07,8,2,0.0,False,,./data2/video-0125-classification.csv,best
,mse,dataset,20.0,,30,1e-07,8,2,0.0,False,,./data2/video-0125-regression.csv,best
,entropy,dataset,20.0,,30,1e-07,10,2,0.0,False,,./data2/video-0126-classification.csv,best
,mse,dataset,20.0,,30,1e-07,10,2,0.0,False,,./data2/video-0126-regression.csv,best
,entropy,dataset,20.0,,40,1e-07,1,2,0.0,False,,./data2/video-0127-classification.csv,best
,mse,dataset,20.0,,40,1e-07,1,2,0.0,False,,./data2/video-0127-regression.csv,best
,entropy,dataset,20.0,,40,1e-07,2,2,0.0,False,,./data2/video-0128-classification.csv,best
,mse,dataset,20.0,,40,1e-07,2,2,0.0,False,,./data2/video-0128-regression.csv,best
,entropy,dataset,20.0,,40,1e-07,4,2,0.0,False,,./data2/video-0129-classification.csv,best
,mse,dataset,20.0,,40,1e-07,4,2,0.0,False,,./data2/video-0129-regression.csv,best
,entropy,dataset,20.0,,40,1e-07,6,2,0.0,False,,./data2/video-0130-classification.csv,best
,mse,dataset,20.0,,40,1e-07,6,2,0.0,False,,./data2/video-0130-regression.csv,best
,entropy,dataset,20.0,,40,1e-07,8,2,0.0,False,,./data2/video-0131-classification.csv,best
,mse,dataset,20.0,,40,1e-07,8,2,0.0,False,,./data2/video-0131-regression.csv,best
,entropy,dataset,20.0,,40,1e-07,10,2,0.0,False,,./data2/video-0132-classification.csv,best
,mse,dataset,20.0,,40,1e-07,10,2,0.0,False,,./data2/video-0132-regression.csv,best
,entropy,dataset,20.0,,50,1e-07,1,2,0.0,False,,./data2/video-0133-classification.csv,best
,mse,dataset,20.0,,50,1e-07,1,2,0.0,False,,./data2/video-0133-regression.csv,best
,entropy,dataset,20.0,,50,1e-07,2,2,0.0,False,,./data2/video-0134-classification.csv,best
,mse,dataset,20.0,,50,1e-07,2,2,0.0,False,,./data2/video-0134-regression.csv,best
,entropy,dataset,20.0,,50,1e-07,4,2,0.0,False,,./data2/video-0135-classification.csv,best
,mse,dataset,20.0,,50,1e-07,4,2,0.0,False,,./data2/video-0135-regression.csv,best
,entropy,dataset,20.0,,50,1e-07,6,2,0.0,False,,./data2/video-0136-classification.csv,best
,mse,dataset,20.0,,50,1e-07,6,2,0.0,False,,./data2/video-0136-regression.csv,best
,entropy,dataset,20.0,,50,1e-07,8,2,0.0,False,,./data2/video-0137-classification.csv,best
,mse,dataset,20.0,,50,1e-07,8,2,0.0,False,,./data2/video-0137-regression.csv,best
,entropy,dataset,20.0,,50,1e-07,10,2,0.0,False,,./data2/video-0138-classification.csv,best
,mse,dataset,20.0,,50,1e-07,10,2,0.0,False,,./data2/video-0138-regression.csv,best
,entropy,dataset,20.0,,60,1e-07,1,2,0.0,False,,./data2/video-0139-classification.csv,best
,mse,dataset,20.0,,60,1e-07,1,2,0.0,False,,./data2/video-0139-regression.csv,best
,entropy,dataset,20.0,,60,1e-07,2,2,0.0,False,,./data2/video-0140-classification.csv,best
,mse,dataset,20.0,,60,1e-07,2,2,0.0,False,,./data2/video-0140-regression.csv,best
,entropy,dataset,20.0,,60,1e-07,4,2,0.0,False,,./data2/video-0141-classification.csv,best
,mse,dataset,20.0,,60,1e-07,4,2,0.0,False,,./data2/video-0141-regression.csv,best
,entropy,dataset,20.0,,60,1e-07,6,2,0.0,False,,./data2/video-0142-classification.csv,best
,mse,dataset,20.0,,60,1e-07,6,2,0.0,False,,./data2/video-0142-regression.csv,best
,entropy,dataset,20.0,,60,1e-07,8,2,0.0,False,,./data2/video-0143-classification.csv,best
,mse,dataset,20.0,,60,1e-07,8,2,0.0,False,,./data2/video-0143-regression.csv,best
,entropy,dataset,20.0,,60,1e-07,10,2,0.0,False,,./data2/video-0144-classification.csv,best
,mse,dataset,20.0,,60,1e-07,10,2,0.0,False,,./data2/video-0144-regression.csv,best
